Species ,Type strain ,16s rDNA ,gyrB gene,rpoD gene,rpoB gene,Genome
Pseudomonas tremae,LMG 22121,AJ492826.1,DQ072692/FN554229.1,DQ072714.1/FN554463.1,FN554761.1,LJRO00000000.1
Pseudomonas trivialis,LMG 21464,AJ492831.1,FN554230.1,FN554515.1,FN554762.1,JYLK00000000.1
Pseudomonas tuomuerensis,CECT 7766,DQ868767.1,AB571150.1/KR706346.1,AB571152.1,AB571151.1,JTAK00000000.1
Pseudomonas turukhanskensis,IB-1.1,KP306892.1,LT219440.1,LT219438.1,LT219439.1,-
Pseudomonas umsongensis,LMG 21317,AF468450.1,FN554231.1,FN554516.1,FN554763.1,LT629767.1
Pseudomonas urumqiensis,T3,MH355542.1,RBZQ00000000.1,RBZQ00000000.1,RBZQ00000000.1,RBZQ00000000.1
Pseudomonas vancouverensis,ATCC 700688,AJ011507.1,FN554232.1,FN554517.1,AJ717473.1,LT629803.1
Pseudomonas veronii,LMG 17761,AF064460.1,FN554233.1,FN554518.1,AJ717445.1,JYLL00000000.1
Pseudomonas versuta,L10.10,KC433618.1,KY264775.1,KY264773.1,KY264774.1,CP012676.1
Pseudomonas viridiflava,ATCC 13223,AY180972.1,AB039427.1,AB039520.1,FN554764.1,LJRS00000000.1
Pseudomonas vranovensis,DSM 16006,AY970951.1,HE577791.1,HE577793.1,HE577799.1,AUED00000000.1
Pseudomonas wadenswillerensis,CCOS 864,LT009706.2,UIDD00000000.1,UIDD00000000.1,UIDD00000000.1,UIDD00000000.1
Pseudomonas weihenstephanensis,DSM 29166,JYLF00000000.1,JYLF00000000.1,JYLF00000000.1,JYLF00000000.1,JYLF00000000.1
Pseudomonas xanthomarina,CCUG 46543,AY970951.1,AM905836.1,AM905872.1,FN554765.1,LT629970.1
Pseudomonas xiamenensis,JCM 13530,DQ088664.1,DQ350612.2,EF596884.1,EF667149.1,Gp0013197
Pseudomonas xinjiangensis,NRRLB-51270,EU286805.1,LT629736.1,LT629736.1,LT629736.1,LT629736.1
Pseudomonas yamanorum,LMG 27247,LT629793.1,LT629793.1,LT629793.1,LT629793.1,LT629793.1
Pseudomonas yangmingensis,DSM 24213,FOUI00000000.1,FOUI00000000.1,FOUI00000000.1,FOUI00000000.1,FOUI00000000.1
